"TrainNo","From","To","Departure","Arrival","Duration","Price","TrainType","SeatClass","Fare","Currency","TicketType"
"7007","Nord (Paris)","Flandres (Lille)","07:45","08:48","1h 03m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7007","Nord (Paris)","Flandres (Lille)","07:45","08:48","1h 03m","358","Bullet train","1st Class Seat","358","PLN","Regular"
"7015","Nord (Paris)","Flandres (Lille)","08:45","09:48","1h 03m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7015","Nord (Paris)","Flandres (Lille)","08:45","09:48","1h 03m","358","Bullet train","1st Class Seat","358","PLN","Regular"
"7023","Nord (Paris)","Flandres (Lille)","09:42","10:44","1h 02m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7023","Nord (Paris)","Flandres (Lille)","09:42","10:44","1h 02m","358","Bullet train","1st Class Seat","358","PLN","Regular"
"7565","Nord (Paris)","Flandres (Lille)","10:51","12:04","1h 13m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7565","Nord (Paris)","Flandres (Lille)","10:51","12:04","1h 13m","358","Bullet train","1st Class Seat","358","PLN","Regular"
"7031","Nord (Paris)","Flandres (Lille)","11:45","12:48","1h 03m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7031","Nord (Paris)","Flandres (Lille)","11:45","12:48","1h 03m","358","Bullet train","1st Class Seat","358","PLN","Regular"
"7035","Nord (Paris)","Flandres (Lille)","12:45","13:48","1h 03m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7035","Nord (Paris)","Flandres (Lille)","12:45","13:48","1h 03m","358","Bullet train","1st Class Seat","358","PLN","Regular"
"7043","Nord (Paris)","Flandres (Lille)","14:45","15:48","1h 03m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7043","Nord (Paris)","Flandres (Lille)","14:45","15:48","1h 03m","358","Bullet train","1st Class Seat","358","PLN","Regular"
"7577","Nord (Paris)","Flandres (Lille)","16:51","18:04","1h 13m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7577","Nord (Paris)","Flandres (Lille)","16:51","18:04","1h 13m","358","Bullet train","1st Class Seat","358","PLN","Regular"
"7069","Nord (Paris)","Flandres (Lille)","18:45","19:48","1h 03m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7069","Nord (Paris)","Flandres (Lille)","18:45","19:48","1h 03m","358","Bullet train","1st Class Seat","358","PLN","Regular"
"7297","Nord (Paris)","Flandres (Lille)","22:03","23:18","1h 15m","308","Bullet train","Economy Class Seat","308","PLN","Regular"
"7297","Nord (Paris)","Flandres (Lille)","22:03","23:18","1h 15m","358","Bullet train","1st Class Seat","358","PLN","Regular"
